country_code,country_name,region_code,incomegroup_code,dd_code
UGA,Uganda,SSF,LIC,PRE
UKR,Ukraine,ECS,UMC,PST
ARE,United Arab Emirates,MEA,HIC,LTE
GBR,United Kingdom,ECS,HIC,PST
USA,United States,NAC,HIC,PST
URY,Uruguay,LCN,HIC,LTE
UZB,Uzbekistan,ECS,LMC,EAR
VUT,Vanuatu,EAS,LMC,EAR
VEN,Venezuela,LCN,LMC,EAR
VNM,Vietnam,EAS,LMC,LTE
VIR,Virgin Islands,LCN,HIC,LTE
PSE,West Bank and Gaza,MEA,LMC,EAR
YEM,Yemen,MEA,LIC,EAR
ZMB,Zambia,SSF,LMC,PRE
ZWE,Zimbabwe,SSF,LMC,EAR
